0 0.559776
1 0.698911
2 0.520334
3 0.573305
4 0.0379968
5 0.14977
6 0.146114
7 0.012523
8 0.0153856
9 0.906846
10 0.474156
11 0.176966
12 0.412815
13 0.221739
14 0.302783
15 0.92318
16 0.431599
17 0.388677
18 0.595809
19 0.31322
20 0.387595
21 0.598666
22 0.609181
23 0.322539
24 0.734736
25 0.739878
26 0.83012
27 0.632668
28 0.51361
29 0.678034
30 0.145454
31 0.851675
32 0.184714
33 0.776545
34 0.548581
35 0.214612
36 0.630917
37 0.112538
38 0.752314
39 0.705991
40 0.459729
41 0.542299
42 0.943614
43 0.377902
44 0.453412
45 0.856495
46 0.971054
47 0.372929
48 0.883733
49 0.634123
50 0.971361
51 0.320554
52 0.735868
53 0.943881
54 0.771905
55 0.924269
56 0.766451
57 0.366103
58 0.555396
59 0.899743
60 0.167213
61 0.82093
62 0.453916
63 0.378519
64 0.5869
65 0.269178
66 0.469802
67 0.411843
68 0.254872
69 0.199936
70 0.603887
71 0.00479727
72 0.954202
73 0.255735
74 0.878122
75 0.0407093
76 0.479565
77 0.193018
78 0.534783
79 0.997739
80 0.57328
81 0.503568
82 0.390776
83 0.363103
84 0.471334
85 0.0792503
86 0.993366
87 0.593565
88 0.643994
89 0.204887
90 0.0227084
91 0.503332
92 0.993389
93 0.949749
94 0.096236
95 0.326025
96 0.974713
97 0.0264224
98 0.20655
99 0.0744978
